Region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Белгородская область,78011.4,78354.7,79856.0,75549.3,78001.9,75768.0,77851.3,78335.8,77655.4,,70736.1,74637.4
Брянская область,75471.7,77461.7,79788.6,81756.0,82882.1,81309.1,85224.7,84418.8,85725.3,,78206.2,77439.0
Владимирская область,88481.6,90278.8,90043.0,93759.5,100992.5,93672.7,92840.3,93792.9,92125.6,,93765.7,94163.6
Воронежская область,53426.0,53317.3,53462.2,52711.4,56567.4,56767.9,55295.5,54232.7,52480.9,,54555.4,55009.9
Ивановская область,82590.6,88404.3,85829.1,85389.0,92323.9,89535.7,93900.3,96375.5,94051.9,,87753.9,88473.5
Калужская область,78316.8,72115.9,75050.1,75168.9,78618.1,76583.0,71568.6,72719.5,72058.4,,71236.0,75548.6
Костромская область,67549.2,71166.7,72083.4,74495.7,82061.3,77719.3,79331.5,74869.0,75316.1,,76893.3,71386.8
Курская область,63321.1,63359.3,57202.2,56738.7,60788.0,56838.0,61737.5,58740.6,56996.2,,54259.7,54094.0
Липецкая область,71678.1,71222.9,71544.7,73812.8,69982.5,69212.6,71389.6,70566.4,69331.0,,67096.0,66621.8
Московская область,60726.4,62153.7,63936.1,63668.8,67978.7,69137.4,69098.9,68293.7,70167.4,,70754.7,70054.0
Орловская область,81914.2,84283.0,85575.3,87373.5,88280.0,84900.2,88874.4,94005.2,90759.9,,97017.0,94883.0
Рязанская область,65440.8,66135.6,66007.8,64443.8,69992.3,70498.7,70242.7,70568.1,68821.2,,69503.4,70384.8
Смоленская область,78055.9,78670.9,77093.6,79280.7,80134.9,78225.6,75594.4,73670.6,75503.3,,68560.5,72034.9
Тамбовская область,73112.1,74223.2,73798.3,73606.4,77100.6,71024.8,67167.1,65982.8,63773.2,,64675.7,64949.8
Тверская область,75182.8,80331.9,77823.4,80361.3,82878.6,83228.2,87280.3,91776.2,90084.0,,90310.7,86566.6
Тульская область,74309.6,74083.9,72610.9,72540.7,74264.4,73467.1,71142.7,70453.8,71775.1,,71966.9,72165.3
Ярославская область,89448.5,92748.6,97574.8,98277.2,102747.0,88524.4,89681.3,88132.9,84616.2,,85745.2,89949.9
Москва,70629.3,71723.8,72384.2,73194.9,76106.2,75587.1,71728.7,71695.6,68790.3,,63141.6,64633.3
Республика Карелия,100142.3,100934.7,98357.5,100548.1,105236.2,101802.7,109845.4,107378.4,111316.4,,111427.4,112365.5
Республика Коми,94311.6,94068.8,95693.5,95079.9,98272.2,98565.3,104169.3,104808.3,104227.0,,107199.6,111709.0
Архангельская область,92133.9,98519.1,96791.6,96592.7,102267.0,102909.3,105616.4,106235.7,100394.7,,101587.4,99842.1
Ненецкий АО,162998.7,176195.1,174824.7,174170.1,187231.4,180597.3,175738.6,175931.4,157741.5,,142147.2,138231.7
Вологодская область,80307.0,86455.9,83633.0,85444.3,88711.9,87979.7,88145.5,86705.5,84821.6,,88940.6,91608.4
Калининградская область,70038.0,74750.9,73538.0,75848.7,82065.9,80190.7,81393.9,81518.0,81405.8,,70149.9,82758.6
Ленинградская область,52974.2,54170.1,52447.0,55784.7,58473.0,57610.0,55581.8,55677.5,53538.7,,61699.2,66653.9
Мурманская область,78040.7,81571.2,81811.3,81648.7,85496.8,84953.4,84790.4,84923.0,89131.0,,83547.2,87319.0
Новгородская область,83506.0,89489.8,85633.9,86974.1,90498.9,87566.8,89496.0,89434.8,93704.1,,89653.8,88536.3
Псковская область,59317.1,61073.1,62120.4,66078.2,80281.3,66543.8,67383.9,67727.7,69512.2,,66058.1,70723.5
Санкт-Петербург,74215.8,80158.1,82557.9,87760.7,91568.3,90659.7,88363.7,89017.4,88629.7,,93150.1,101498.4
Республика Адыгея,62664.9,60339.1,59376.3,62243.0,61649.8,68958.3,69200.9,69026.6,65625.1,,65936.3,66252.3
Республика Калмыкия,71047.6,71347.6,73348.8,68011.8,70097.5,69473.0,66529.5,71656.4,69171.2,,65849.5,71872.7
Республика Крым,,,,,,,,,,,52802.9,52086.6
Краснодарский край,55826.6,55722.3,56060.1,56387.9,54924.0,58239.3,62457.1,64963.7,67011.0,,64954.8,67335.5
Астраханская область,71175.5,74200.7,73107.7,72110.0,78406.7,74685.9,74094.0,70265.5,68254.0,,62055.8,64679.9
Волгоградская область,71747.7,74035.4,70299.3,69788.0,71954.9,71593.1,70683.9,69824.1,71819.5,,64434.4,64210.5
Ростовская область,79961.6,81567.6,81151.2,79421.1,82093.1,79984.1,81546.6,81843.5,81614.7,,80119.9,81083.3
Севастополь,,,,,,,,,,,50825.0,52350.6
Республика Дагестан,85765.8,83865.2,85033.5,85376.8,85244.6,83120.9,80838.0,81739.6,81896.3,,78884.9,80693.8
Республика Ингушетия,48594.4,50758.9,56594.3,64019.6,57053.6,66193.5,96164.0,93200.4,99150.3,,75176.0,60547.7
Кабардино-Балкарская Республика,37740.4,39241.5,38776.3,39169.4,39948.7,38449.5,40562.8,40258.4,44850.9,,46622.4,44792.0
Карачаево-Черкесская Республика,48621.0,49951.5,47007.4,47270.6,50884.1,50052.3,49369.2,58562.0,67484.2,,69025.3,63347.1
Республика Северная Осетия-Алания,60162.6,65921.1,67796.4,69322.9,71872.9,65685.8,68385.4,67560.3,69730.2,,70726.7,72233.0
